,cgpa,iq,placement
0,6.8,123,1
1,5.9,106,0
2,5.3,121,0
3,7.4,132,1
4,5.8,142,0
5,7.1,48,1
6,5.7,143,0
7,5,63,0
8,6.1,156,0
9,5.1,66,0
10,6,45,1
11,6.9,138,1
12,5.4,139,0
13,6.4,116,1
14,6.1,103,0
15,5.1,176,0
16,5.2,224,0
17,3.3,183,0
18,4,100,0
19,5.2,132,0
20,6.6,120,1
21,7.1,151,1
22,4.9,120,0
23,4.7,87,0
24,4.7,121,0
25,5,91,0
26,7,199,1
27,6,124,1
28,5.2,90,0
29,7,112,1
30,7.6,128,1
31,3.9,109,0
32,7,139,1
33,6,149,0
34,4.8,163,0
35,6.8,90,1
36,5.7,140,0
37,8.1,149,1
38,6.5,160,1
39,4.6,146,0
40,4.9,134,0
41,5.4,114,0
42,7.6,89,1
43,6.8,141,1
44,7.5,61,1
45,6,66,1
46,5.3,114,0
47,5.2,161,0
48,6.6,138,1
49,5.4,135,0
50,3.5,233,0
51,4.8,141,0
52,7,175,1
53,8.3,168,1
54,6.4,141,1
55,7.8,114,1
56,6.1,65,0
57,6.5,130,1
58,8,79,1
59,4.8,112,0
60,6.9,139,1
61,7.3,137,1
62,6,102,0
63,6.3,128,1
64,7,64,1
65,8.1,166,1
66,6.9,96,1
67,5,118,0
68,4,75,0
69,8.5,120,1
70,6.3,127,1
71,6.1,132,1
72,7.3,116,1
73,4.9,61,0
74,6.7,154,1
75,4.8,169,0
76,4.9,155,0
77,7.3,50,1
78,6.1,81,0
79,6.5,90,1
80,4.9,196,0
81,5.4,107,0
82,6.5,37,1
83,7.5,130,1
84,5.7,169,0
85,5.8,166,1
86,5.1,128,0
87,5.7,132,1
88,4.4,149,0
89,4.9,151,0
90,7.3,86,1
91,7.5,158,1
92,5.2,110,0
93,6.8,112,1
94,4.7,52,0
95,4.3,200,0
96,4.4,42,0
97,6.7,182,1
98,6.3,103,1
99,6.2,113,1
100,7.94,111,0
101,8.292,107,1
102,4.643,100,0
103,7.47,107,0
104,8.882,114,1
105,7.585,115,0
106,7.65,111,0
107,2.412,97,0
108,6,100,1
109,8.833,112,1
110,7.47,104,1
111,5.528,89,0
112,7.167,104,1
113,7.571,102,0
114,4.7,91,1
115,8.167,114,1
116,7.822,114,0
117,7.598,103,1
118,4,106,1
119,6.231,105,0
120,7.643,113,1
121,1.76,109,0
122,6.419,108,0
123,9.648,113,1
124,10.7,130,0
125,10.58,128,1
126,9.429,128,1
127,8,118,0
128,9.585,113,0
129,9.571,120,1
130,8.998,132,0
131,8.333,111,1
132,8.175,124,1
133,8,127,0
134,9.333,128,1
135,9.5,136,1
136,9.167,106,1
137,10.14,118,1
138,9.999,119,0
139,10.76,123,1
140,9.763,124,0
141,9.41,126,0
142,9.167,116,1
143,9.348,127,0
144,8.167,119,0
145,3.647,97,0
146,3.408,86,1
147,3.936,102,1
148,7.167,110,1
149,7.647,120,1
150,0.53,103,1
151,6.173,115,1
152,7.295,93,0
153,7.295,72,1
154,8.938,111,0
155,7.882,103,0
156,8.353,123,1
157,5.062,79,0
158,8.175,119,1
159,8.235,110,1
160,7.588,110,0
161,7.647,107,1
162,5.237,74,0
163,7.825,105,0
164,7.333,112,0
165,9.167,105,1
166,7.996,110,1
167,8.714,107,0
168,7.833,103,1
169,4.885,77,0
170,7.998,98,0
171,3.82,90,0
172,5.936,96,1
173,9,112,1
174,9.5,112,1
175,6.057,114,0
176,6.057,93,0
177,6.938,106,1
